hotel_id,host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
32100,138579,40.73409,-73.95348,250,29,3,0.03,1,34
32289,139612,40.71561,-73.94835,199,3,10,0.1,1,280
32331,139874,40.6857,-73.99183,140,2,4,0.04,1,0
32363,140025,40.74028,-73.83168,140,2,1,0.01,1,1
32965,137974,40.68281,-73.93524,115,3,124,1.72,2,170
32969,142833,40.71596,-73.93938,160,3,11,0.11,1,188
33009,143027,40.71492,-73.95935,195,4,240,2.19,1,214
33014,143048,40.72354,-73.98295,195,3,30,0.28,1,248
33223,72014,40.71165,-73.96087,80,3,200,1.86,4,262
34760,149929,40.69101,-73.97312,44,8,27,1.05,5,280
35526,120291,40.73474,-74.00101,156,4,79,0.74,1,307
36121,62165,40.67386,-73.96641,85,15,9,0.09,1,339
36133,142684,40.71536,-73.96057,125,3,155,1.61,1,1
36442,137432,40.6741,-73.96595,115,15,4,0.05,1,269
36647,157798,40.79295,-73.93997,69,2,34,0.32,1,10
36703,158284,40.73226,-74.00401,225,45,134,1.24,1,312
36934,159370,40.71363,-73.96398,125,6,27,0.25,1,189
38638,92788,40.77711,-73.9527,219,4,126,1.16,2,290
38663,165789,40.68559,-73.98094,475,3,23,0.27,1,230
39267,168417,40.77456,-73.95323,99,1,234,2.6,2,164
39282,168525,40.71088,-73.95055,69,4,202,1.86,2,53
39593,110506,40.74559,-73.92313,79,30,28,0.26,1,126
39704,170510,40.68306,-73.94659,135,2,309,2.86,2,3
40039,171851,40.70207,-73.98571,250,3,14,0.13,1,189
40453,174025,40.76123,-73.9642,250,3,4,0.08,1,365
41348,180083,40.66858,-73.99083,250,2,80,2.17,1,0
41513,181167,40.82704,-73.94907,80,3,2,0.04,1,0
42580,137814,40.68843,-73.96408,70,2,294,3.47,3,336
42729,11481,40.6783,-74.00135,165,2,150,1.4,3,342
42882,185978,40.64524,-74.08088,70,2,166,1.66,1,312
43957,177536,40.70641,-73.91765,50,2,47,0.94,1,37
44096,190409,40.83232,-73.93184,40,1,219,2.04,3,353
44161,193360,40.71045,-73.9677,150,2,193,1.78,1,177
44212,72062,40.72518,-73.98034,125,1,84,0.78,4,310
44221,193722,40.70666,-74.01374,196,3,114,1.06,1,0
44229,181376,40.69098,-73.97113,110,2,213,2,2,321
44288,193637,40.73756,-74.00405,170,3,86,0.8,1,246
44506,126607,40.81526,-73.94791,165,3,80,0.75,3,231
45393,201297,40.73423,-74.0046,150,26,38,0.36,1,225
45542,202249,40.82374,-73.9373,100,2,18,1.79,1,0
45556,67778,40.68863,-73.97691,65,2,206,1.92,2,0
45910,204539,40.70382,-73.89797,350,8,10,0.11,5,365
45936,867225,40.80549,-73.95924,99,4,122,1.18,2,233
45940,204724,40.71627,-73.9587,200,4,33,0.58,1,1
46544,8198,40.67994,-73.97863,150,5,52,0.5,1,18
46723,209460,40.67992,-73.9475,90,3,126,1.17,4,343
46911,210746,40.67868,-73.97307,120,3,51,0.48,3,250
47199,212722,40.76834,-73.95334,75,3,199,1.85,1,326
47362,214148,40.68237,-73.9415,175,26,30,0.29,1,364
47370,214287,40.74031,-73.99999,125,3,3,0.03,1,0
47926,218404,40.76307,-73.99665,275,1,41,0.38,1,299
48719,221873,40.71882,-73.98852,299,2,109,1.04,1,207
50447,9744,40.6693,-73.98804,135,5,151,1.43,3,162
51438,236421,40.77333,-73.95199,130,14,0,,2,0
51485,236655,40.72319,-73.99201,83,1,285,2.69,1,7
51572,237329,40.74859,-73.99671,123,1,375,3.52,1,328
51850,27848,40.67252,-73.76597,55,2,52,0.49,2,365
53137,240360,40.76244,-73.99271,195,5,10,1.01,1,0
53196,247432,40.69546,-73.93503,80,2,11,0.48,1,0
53469,204539,40.71722,-73.87856,98,30,33,0.31,5,240
53470,204539,40.70234,-73.89816,140,7,6,0.06,5,365
53477,204539,40.71546,-73.87854,265,7,38,0.38,5,365
54158,10889,40.7195,-73.95976,249,2,358,3.44,2,164
54453,255583,40.76548,-73.98474,105,6,10,0.09,1,363
54466,253385,40.80234,-73.95603,200,30,0,,1,365
54508,210746,40.6787,-73.97262,100,2,226,2.12,3,250
54544,256161,40.81035,-73.94598,121,1,104,1,5,247
54626,190409,40.83075,-73.93058,45,1,138,1.45,3,323
54860,258164,40.79958,-73.94275,100,5,204,1.92,1,192
55467,260709,40.71625,-73.93845,140,2,253,3.04,1,125
55498,262138,40.6829,-73.93549,71,2,23,0.22,1,91
55668,88209,40.72773,-73.99134,130,2,115,1.17,1,75
55737,263414,40.72861,-74.0049,199,5,129,1.22,1,286
55959,168525,40.70979,-73.95162,69,4,82,1.13,2,60
55982,264928,40.68656,-73.97525,68,3,37,0.35,1,0
56467,267593,40.72752,-73.98432,130,1,204,2.04,1,192
56525,268014,40.729,-73.95829,195,2,69,0.65,1,58
56859,256161,40.81219,-73.94499,64,1,192,1.84,5,245
57166,272006,40.77185,-73.90502,140,2,17,0.16,1,292
57297,199392,40.68926,-73.99386,159,2,222,2.12,1,279
57468,239208,40.72821,-73.98701,189,3,205,1.96,1,0
57618,274557,40.7672,-73.98508,250,3,94,0.96,1,3
57740,275459,40.73012,-73.99053,239,3,7,0.07,1,351
57754,275578,40.7403,-73.98498,305,2,108,1.09,1,201
57874,276291,40.80931,-73.94343,155,3,222,2.1,2,232
58059,277379,40.8251,-73.94287,60,1,458,4.58,2,258
58062,277394,40.6585,-73.98397,135,2,21,0.26,1,272
58467,279797,40.76193,-73.9501,120,7,17,0.3,1,341
59014,282927,40.72052,-73.98589,150,3,41,0.39,1,244
59121,204539,40.70411,-73.89934,140,14,1,0.01,5,365
59642,274782,40.73401,-73.95967,135,2,69,0.67,1,12
59709,186084,40.71756,-73.99503,250,4,18,0.18,2,265
59855,288031,40.7589,-73.96991,250,30,82,0.78,1,0
60164,289653,40.72003,-74.00262,500,4,94,0.99,1,329
60457,99212,40.73194,-73.99474,225,5,10,0.1,1,91
60611,292204,40.79163,-73.94573,125,28,183,1.83,2,365
60666,256161,40.8118,-73.94434,92,1,189,1.82,5,253
60673,249372,40.81583,-73.94707,175,2,1,0.11,1,365
60680,292630,40.72654,-73.98049,99,2,127,1.22,1,320
60794,293394,40.80021,-73.96071,195,4,4,0.04,1,0
60948,126607,40.80942,-73.93936,140,3,135,1.3,3,192
61167,295760,40.71961,-73.9954,135,2,21,0.2,1,0
61224,291112,40.74358,-74.00027,500,2,35,0.34,1,348
61406,297176,40.80335,-73.9575,80,14,10,2.21,2,0
61492,297769,40.71445,-73.9908,120,4,171,1.8,2,353
61509,23619,40.75749,-73.96897,110,200,92,0.9,1,140
62095,281764,40.64446,-73.9503,65,3,238,2.3,1,2
62427,303882,40.7268,-73.99079,130,50,56,0.58,1,56
62430,197755,40.688,-73.9171,99,3,111,2.13,1,68
62452,303939,40.63536,-74.08537,36,2,193,1.85,6,360
62461,303939,40.63627,-74.08543,37,2,147,1.44,6,0
62787,303939,40.63518,-74.08546,37,2,177,1.71,6,320
62891,306545,40.72477,-73.98161,175,3,185,1.78,2,326
62903,306605,40.74238,-73.99567,205,9,62,0.7,2,76
62925,306739,40.72945,-73.95511,285,3,124,1.22,3,279
63299,308875,40.70763,-73.95177,59,2,181,1.77,2,15
63320,303939,40.63481,-74.08519,36,2,333,3.19,6,340
63360,307962,40.75384,-73.91433,99,5,441,4.5,1,226
63546,308652,40.64106,-73.97426,39,1,45,0.46,2,365
63573,310458,40.66793,-73.98327,60,14,9,0.09,2,0
63588,295128,40.81309,-73.85514,90,2,0,,7,349
63610,310670,40.88057,-73.83572,105,2,38,0.5,13,365
63657,170510,40.68236,-73.94314,135,2,248,2.39,2,11
63693,306545,40.72185,-73.98246,390,5,143,1.38,2,316
63719,311286,40.68503,-73.95385,70,3,36,0.41,4,281
63913,312288,40.86648,-73.9263,75,7,0,,2,323
64000,312722,40.7069,-73.95467,60,17,14,0.14,4,362
64015,146944,40.72807,-73.98594,200,3,0,,1,0
64107,313317,40.6778,-73.94339,100,3,279,2.69,1,301
64277,311286,40.68317,-73.94701,70,4,18,0.22,4,189
64314,314256,40.6761,-73.9529,110,6,50,3.55,1,0
64365,314582,40.67586,-73.95155,60,2,227,2.27,2,287
64707,7310,40.71702,-73.99811,90,14,1,0.16,1,14
64837,46978,40.72321,-73.98157,68,2,203,1.96,2,86
65019,317809,40.77956,-73.98098,115,2,210,2.1,1,261
65268,319092,40.68276,-73.95264,75,5,64,0.67,1,68
65556,320422,40.71368,-73.9626,60,3,0,,1,0
65562,320450,40.72956,-73.98158,129,7,5,0.15,1,231
65615,320761,40.71069,-73.95175,130,10,49,0.48,1,152
65660,320538,40.70863,-73.94641,95,4,132,1.27,1,46
65813,321756,40.82888,-73.94307,75,3,20,0.26,1,364
65834,321934,40.67319,-73.97323,175,2,11,0.11,1,246
66008,322884,40.67846,-73.99443,190,3,51,0.57,1,288
66026,322716,40.6715,-73.94808,49,21,15,0.15,5,331
66251,324460,40.72681,-73.98534,212,3,67,1.31,1,51
66275,314941,40.71904,-73.99392,95,1,109,1.11,3,364
66451,325389,40.71031,-73.9583,140,2,9,0.11,1,254
66718,136227,40.81322,-73.95306,135,6,187,1.87,1,189
66741,327673,40.67732,-73.98225,150,2,214,2.08,2,263
66974,329436,40.68076,-73.9896,190,3,69,0.79,2,258
67288,101597,40.79603,-73.94903,124,28,22,0.26,1,103
67299,330347,40.71492,-73.96282,135,30,56,0.56,1,42
67397,332189,40.80393,-73.95838,122,3,93,0.93,1,246
68099,323517,40.80082,-73.9652,109,1,104,1.05,2,364
68305,338454,40.82976,-73.94867,85,30,64,0.68,1,318
68403,240427,40.683,-73.91981,145,3,127,1.25,2,72
68735,342054,40.78971,-73.9729,195,11,30,0.32,1,249
68765,282655,40.67817,-73.99495,250,2,106,1.34,3,272
68900,343250,40.73119,-73.95578,125,3,6,0.1,1,325
68974,281229,40.71943,-73.99627,575,2,191,1.88,1,298
69894,352168,40.78,-73.98249,150,30,48,0.55,1,35
69921,155689,40.70514,-73.91922,70,5,47,0.49,1,203
70095,353965,40.86713,-73.92811,90,2,120,1.27,1,132
70128,354330,40.73198,-73.98881,65,3,52,0.63,1,5
70609,72062,40.72542,-73.97986,500,2,48,0.48,4,297
71010,361855,40.83494,-73.93869,250,3,32,0.43,2,276
71248,363834,40.71659,-73.98945,125,25,43,0.42,1,102
71366,364955,40.72966,-74.00243,200,30,39,0.44,1,251
71384,365153,40.72898,-73.95552,229,1,50,0.5,1,188
71812,369015,40.87207,-73.90193,90,30,4,0.35,2,346
72190,373085,40.77728,-73.97818,110,13,38,0.39,1,0
72265,340692,40.72646,-73.95341,59,3,29,0.36,1,15
74073,211877,40.71015,-73.96101,195,4,59,0.6,1,71
74240,389924,40.71903,-73.9597,169,1,68,0.67,2,215
74333,331328,40.80892,-73.93985,113,14,26,0.27,3,253
74404,391325,40.80276,-73.9567,250,14,31,0.31,1,78
74680,265109,40.77635,-73.93426,115,2,198,2.01,1,257
74860,394752,40.72488,-73.95018,55,2,1,0.01,1,0
75193,308875,40.71398,-73.95763,69,2,220,2.17,2,8
75635,401696,40.71876,-73.98394,150,3,286,2.81,1,191
76761,118971,40.66552,-73.99019,169,2,398,3.97,3,182
77765,417504,40.73749,-73.95292,179,3,36,0.36,28,79
77936,134355,40.76248,-73.9913,150,3,36,0.36,1,49
78919,422561,40.68674,-73.98876,135,4,6,0.1,1,0
79067,425506,40.6848,-73.96219,350,6,14,0.3,1,156
79782,430188,40.70516,-73.95455,120,14,76,0.76,6,343
80493,434987,40.72329,-73.98486,71,2,182,1.81,1,200
80684,417504,40.73776,-73.95327,349,3,8,0.09,28,60
80700,417504,40.73738,-73.95482,349,3,7,0.07,28,60
80924,438133,40.67542,-73.98142,165,30,34,0.51,2,189
81739,417504,40.73842,-73.95312,249,3,2,0.02,28,60
82549,448312,40.6926,-73.99832,100,3,66,0.68,2,0
82550,448312,40.69441,-73.99771,200,3,80,0.85,2,106
82638,449787,40.72399,-73.98374,169,4,240,2.4,1,276
82928,451545,40.6824,-73.94615,185,3,46,1.07,1,248
83243,453519,40.68949,-73.91708,65,2,228,2.27,1,194
83446,454756,40.68819,-73.97258,130,35,5,0.05,1,135
83722,456638,40.7205,-73.96015,199,30,8,0.11,1,30
83847,410094,40.72451,-73.98094,225,2,33,0.33,1,0
84010,417504,40.73813,-73.95394,179,3,13,0.14,28,81
84059,459054,40.67591,-73.94715,150,5,5,0.05,1,0
84659,462776,40.72843,-73.98895,139,1,388,3.88,1,142
84905,464506,40.71271,-73.99776,95,3,223,2.22,2,60
85094,322716,40.66966,-73.94735,79,15,11,0.11,5,179
86215,327900,40.71965,-73.98766,150,2,151,1.51,2,52
89427,116599,40.68613,-73.96536,650,5,0,,3,365
89621,209460,40.68048,-73.94911,90,3,218,2.26,4,324
93313,25183,40.68314,-73.93963,120,2,75,0.76,2,237
94035,35375,40.75961,-73.91117,80,1,42,1.21,2,365
94209,503800,40.67473,-73.94494,100,90,0,,1,365
94477,478395,40.69305,-73.93185,175,2,370,3.74,1,204
94783,473113,40.67174,-73.95663,120,5,104,1.04,1,272
95747,509341,40.71055,-73.95098,140,7,13,0.13,1,0
95883,509918,40.69465,-73.95458,200,5,4,0.07,1,9
96471,116599,40.68413,-73.96542,165,4,11,0.11,3,365
98330,31374,40.73877,-73.97707,125,4,1,0.01,3,181
98663,520279,40.74893,-73.99544,130,30,19,0.19,1,189
99070,522065,40.79406,-73.94102,65,7,131,1.31,2,0
99085,522164,40.68795,-73.97332,123,30,15,0.15,1,189
100002,523218,40.85295,-73.93361,67,2,136,1.37,1,296
100184,526653,40.72413,-73.76133,50,1,43,0.45,1,88
100186,526805,40.66918,-73.99187,130,7,98,0.99,1,35
101053,530032,40.71125,-73.95613,100,3,31,0.31,1,0
102995,178043,40.78558,-73.9696,212,21,45,0.46,1,35
103161,465278,40.71577,-73.96053,190,3,124,1.76,1,359
103311,417504,40.73861,-73.95485,599,3,9,0.09,28,60
103806,251176,40.72577,-73.98745,249,5,166,1.68,2,365
105469,547386,40.58615,-73.81245,70,27,13,0.13,1,335
105510,322716,40.67086,-73.94872,100,30,15,0.16,5,282
106363,551055,40.82773,-73.95231,60,3,380,3.83,2,247
106647,552679,40.68505,-73.95684,135,2,86,0.87,1,102
107630,306739,40.72911,-73.95493,175,3,248,2.53,3,274
107895,3088389,40.77944,-73.98567,120,5,49,0.56,1,201
110739,568568,40.74503,-73.98876,169,18,54,0.57,1,98
112100,572527,40.67539,-73.96093,165,7,3,0.03,1,157
112304,573316,40.8054,-73.95189,90,1,1,0.02,1,0
112359,571952,40.78491,-73.9508,225,2,56,0.57,1,312
112435,181376,40.69088,-73.97307,95,2,163,1.66,2,331
113265,314582,40.67555,-73.95057,55,2,247,2.51,2,275
113945,275582,40.75835,-73.99193,85,10,116,1.17,1,174
114123,579495,40.66527,-73.9886,199,14,27,0.28,2,223
114229,314941,40.71895,-73.99434,211,1,52,0.6,3,361
114969,582598,40.75579,-73.96699,145,6,39,0.4,1,0
115535,567187,40.82399,-73.95328,65,14,35,0.35,1,283
115678,127772,40.81822,-73.94095,99,1,320,3.23,1,220
115748,585166,40.76434,-73.92132,110,4,30,0.32,1,363
116940,209460,40.67705,-73.94925,80,3,225,2.27,4,315
117425,593115,40.69263,-73.99438,150,30,95,0.96,1,281
118061,2248897,40.68448,-73.92747,110,4,70,0.75,1,283
118430,585458,40.74412,-74.00208,290,2,35,0.36,1,20
118680,599354,40.73067,-73.98702,87,2,0,,1,0
120362,138069,40.70665,-73.94061,190,4,50,0.51,1,331
121687,262812,40.72063,-73.95952,200,2,29,0.31,1,36
121861,611716,40.67644,-73.98082,165,2,23,0.23,2,7
123784,617990,40.80481,-73.94794,110,2,142,1.44,2,301
125053,622460,40.72533,-73.99143,395,2,70,0.73,1,170
125163,622855,40.68569,-73.93038,99,2,38,0.54,2,307
125594,308652,40.64302,-73.97255,39,1,82,0.94,2,365
126443,627217,40.72939,-73.98857,189,2,403,4.1,3,201
126816,620288,40.79918,-73.96607,85,1,3,0.03,1,0
127387,23276,40.66862,-73.9926,260,30,3,0.03,1,316
128975,256161,40.81333,-73.94453,122,1,116,1.18,5,271
131154,275563,40.72473,-73.95199,165,2,175,1.79,1,139
132516,85330,40.70925,-73.85262,97,3,28,1.21,3,209
132570,651390,40.73215,-74.00922,170,4,24,0.25,1,0
132695,507186,40.71109,-73.94332,125,2,15,0.15,1,0
133025,653405,40.7463,-73.97926,130,4,105,1.07,1,193
134934,652842,40.71823,-73.95849,225,10,22,0.38,1,52
135393,663764,40.651,-73.94886,50,2,263,2.69,2,136
135465,663879,40.68626,-73.97598,170,3,86,0.91,2,286
135706,665013,40.74488,-74.001,132,4,10,0.1,1,0
136493,663384,40.67632,-73.97616,250,7,18,0.21,1,18
138216,674970,40.72212,-73.94254,141,5,8,0.21,1,9
139624,680818,40.67456,-73.95151,64,20,70,0.73,1,3
140133,622866,40.71363,-73.96019,249,3,150,1.55,1,277
140425,683975,40.6755,-73.95878,79,2,115,1.18,1,0
140973,686147,40.72274,-73.97581,185,2,69,0.71,1,233
141154,686768,40.6858,-73.9828,120,3,232,2.41,1,221
141335,687361,40.67535,-73.97654,495,1,35,0.41,1,355
141890,689661,40.72255,-73.99346,375,3,18,0.21,1,0
141984,630453,40.72094,-73.99706,175,3,68,0.69,1,277
142069,277747,40.72485,-73.97813,150,4,22,0.23,1,0
144087,616825,40.80473,-73.9532,259,8,17,0.17,1,343
144148,299755,40.72217,-73.98419,96,1,34,0.58,1,0
145064,404424,40.71943,-73.9565,145,7,8,0.08,1,0
145188,703156,40.74249,-74.00329,200,4,0,,1,0
145994,706418,40.79264,-73.97294,95,5,2,0.08,1,0
146754,709434,40.65749,-73.97675,250,4,52,0.72,1,188
147586,709334,40.80474,-73.94688,295,2,74,0.76,2,264
148201,715807,40.72831,-74.00177,175,3,18,0.19,1,0
148259,716064,40.71541,-73.94144,451,2,72,0.86,1,331
148825,718349,40.79765,-73.96245,165,2,191,2.18,1,236
149287,720320,40.78508,-73.95332,250,4,0,,1,0
149777,716306,40.89747,-73.8639,77,1,197,2.49,1,309
150804,726333,40.72008,-73.98404,250,4,19,0.2,1,0
151199,722320,40.75725,-73.91098,129,1,414,4.34,1,245
151478,216191,40.7102,-73.94495,98,2,8,0.09,4,0
152071,731855,40.67359,-73.97904,150,2,0,,1,8
152078,731904,40.72674,-73.9782,95,7,25,0.3,1,359
152259,256161,40.81156,-73.94571,55,3,119,1.22,5,333
152263,732535,40.80497,-73.95016,300,2,203,2.14,3,258
152520,733894,40.7385,-73.91806,42,40,53,0.55,3,236
153405,737585,40.72937,-73.95671,125,2,104,1.09,1,22
153780,739499,40.72587,-73.98438,175,3,175,1.8,1,236
154934,745069,40.82426,-73.9463,75,3,38,0.42,3,365
155296,656841,40.71624,-73.96272,255,45,39,0.5,1,89
157673,757166,40.68101,-73.94081,72,31,88,0.91,1,164
158061,758441,40.68669,-73.91989,165,1,27,0.28,4,311
158176,573065,40.71534,-73.95914,165,5,117,1.28,1,23
